meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif
Meilleur court-métrage,,2011,avril,,,BAFICI,,Film Festival,,Buenos Aires,Argentine,El juego,Naishtat,Benjamin,347,BAFICI,,BAFICI
Best cinematography award,,2009,,,,Belgrade,,Film Festival,,Belgrade,Serbie,Visités,Cogitore,Clément,220,Belgrade,,Belgrade
Mention spéciale du jury,,2019,,02/07/20,02/17/20,Berlinale,,Film Festival,,Berlin,Allemagne,Omarska,Sasindran,Varun,855,Berlinale,Berlinale,Berlinale
Silver Sand Award,,2019,,10/02/20,10/06/20,Best Of,,International Film Festival,Cinéma l'Eden,La Ciotat,France,Swatted,Joffroy Chandoutis,Ismaël,842,Best Of,,Best Of
Prix du jury,jeune court-métrage,2015,septembre,,,Biarritz Amérique latine,,Film Festival,,Biarritz,France,Echo chamber,Moncayo,Guillermo,17,Biarritz Amérique latine,,Biarritz Amérique latine
Meilleure réalisation,,2012,avril,,,Bibienna,,Film Festival,,Bibienna,Italie,Fireworks,Abbruzzese,Giacomo,380,Bibienna,,Bibienna
Prix du public,,2017,novembre,,,BIEFF,,Film Festival,,Bucarest,Roumanie,"I made you, I kill you",Petru Badelita,Alexandru,658,BIEFF,Bieff,Bieff
Best Directing Award,,2019,,11/06/20,11/10/20,BIEFF,,Experimental Film Festival,,Bucarest,Roumanie,Omarska,Sasindran,Varun,855,BIEFF,Bieff,Bieff
Norberto Griffa de la création audiovisuelle,,2014,novembre,,,Bienal de la imagen en movimiento,,Film Festival,,Buenos Aires,Argentine,Aequador,Huertas Milan,Laura,452,Bienal de la imagen en movimiento,,Bienal de la imagen en movimiento
2 ème prix,,2005,,,,Biennale de l'image en mouvement,,Film Festival,,Genève,Suisse,Japon : un pays lointain,Yabuki,Takako,,Biennale de l'image en mouvement,,Biennale de l'image en mouvement
3 ème prix,,2005,,,,Black Maria,,Film Festival,,,Etats-Unis,Courant d'air,Martirosyan,Nora,,Black Maria,,Black Maria
Student jury award,documentaire,2019,,11/17/20,11/24/20,Blue Danube,,Film Festival,,Vienne,Autriche,Swatted,Joffroy Chandoutis,Ismaël,842,Blue Danube,,Blue Danube
Bobine d'Or,,2009,,,,Bobin'Lilles,,Gala,L'Univers,Lille,France,Brises,Ramirez,Enrique,238,Bobin'Lilles,,Bobin'Lilles
Meilleure bande son,,2009,,,,Bobin'Lilles,,Gala,L'Univers,Lille,France,Naufrage,Durand,Clorinde,254,Bobin'Lilles,,Bobin'Lilles
Mention spéciale,documentaire,2016,decembre,,,Bogota Short,,Short Film Festival,,Bogota,Colombie,Isabella Morra,Pagliai,Isabel,574,Bogota Short,Bogota Short Film Fest,Bogota Short Film Festival
Shine short,,2013,mars-avril,,,Bradford,,Film Festival,,Bradford,Royaume-Unis,Quatro horas descalço,Costa,Ico,438,Bradford,,Bradford
Meilleur film,,2011,février,,,Brecht Festival,,Film Festival,,Augsburg,Allemagne,Plastic and Glass,Joosse,Tessa,284,Brecht Festival,,Brecht Festival
Prix Révélation,,2005,,,,Brest,,Short Film Festival,,Brest,France,La Plaine,Edzard,Roland,,Brest,,Brest
Prix canal+ cocotte minute,,2009,novembre,,,Brest,,Short Film Festival,,Brest,France,Cantor dust man,Loghman,Sébastien,308,Brest,,Brest
Mention spéciale Format Court,,2015,novembre,,,Brest,,Film Festival,,Brest,France,"Archipels, granites dénudées",Hérétakis,Daphné,12,Brest,,Brest
Mention spéciale du jury,film étudiant,2014,avril,,,Bruz,,International Animation Festival,,Rennes,France,Gli immacolati,Trocker,Ronny,522,Bruz,,Bruz
1er prix,,2009,octobre,,,Busan,,Film Festival,,Busan,Corée du Sud,Phone Tapping,Won Lee,Hee,286,Busan,Busan,Busan
Grand Prix,,2012,mars,,,Ca'Forscari,,Film Festival,,Venise,Italie,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409,Ca'Forscari,Ca Foscari,Ca’Foscari
Prix spécial du jury,,2006,,,,Caen,,Short Film Festival,,Caen,France,La Plaine,Edzard,Roland,,Caen,,Caen
3 ème prix Cinéfondation,,2005,,,,Cannes,,Film Festival,,Cannes,France,La Plaine,Edzard,Roland,,Cannes,,Cannes
Grand Prix,,2006,,,,Cannes,,Film Festival,,Cannes,France,Flandres,Dumont,Bruno,,Cannes,,Cannes
Prix IBN,,2009,,,,Catania,,Film Festival,,Catania,Italie,Naufrage,Durand,Clorinde,254,Catania,,Catania
Best creative short,,2015,avril,,,Cervantes Award,,Prix annuel,Ministère de la culture,Madrid,Espagne,Le Park,Maroufi,Randa,16,Cervantes Award,,Cervantes Award
Prix du jury,,2019,,04/04/20,04/06/20,Chalon tout court,,Short Film Festival,,Châlon-sur-Saône,France,Swatted,Joffroy Chandoutis,Ismaël,842,Chalon tout court,,Chalon tout court
Mention spéciale,,2007,,,,Chicago,,Short Film Festival,,Chicago,Etats-Unis,Under Construction,Liu,Zhenchen,212,Chicago,,Chicago
Silver plaque,,2014,octobre,,,Chicago,,Film Festival,,Chicago,Etats-Unis,Gli immacolati,Trocker,Ronny,522,Chicago,,Chicago
Prix Phil Solomon,,2019,,06/05/20,06/09/20,Chicago Underground,,Film Festival,,Chicago,Etats-Unis,Swatted,Joffroy Chandoutis,Ismaël,842,Chicago Underground,,Chicago Underground
Mention spéciale,,2012,octobre,,,Chypre,,Short Film Festival,,Nicosie,Chypre,Manque de preuves,Kwon,Hayoun,396,Chypre,,Chypre
Best documentary,compétition internationale,2019,,10/12/20,10/18/20,Chypre,,Short Film Festival,,Nicosie,Chypre,Swatted,Joffroy Chandoutis,Ismaël,842,Chypre,,Chypre
Mention spéciale du jury,long métrage,2010,octobre,,,Cine B,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278,Cine B,,Cine B
"Prix du court-métrage ""ado""",,2012,mars,,,Ciné-jeune,,Film Festival,,Laon,France,Fireworks,Abbruzzese,Giacomo,380,Ciné-jeune,,Ciné-jeune
Mention spéciale,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212,Cine'Eco,,Cine'Eco
Grand Prix jeune public,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212,Cine'Eco,,Cine'Eco
Grand prix du jury,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212,Cine'Eco,,Cine'Eco
Mention spéciale du prix Louis Marcorelles,,2010,mars,,,Cinéma du réel,,International Documentary Film Festival,,Paris,France,Atlantiques,Diop,Mati,282,Cinéma du réel,,Cinéma du réel
Prix Joris Ivens,premier film,2010,,,,Cinéma du réel,,Film Festival,,Paris,France,La Quemadura,Ballesteros,René,278,Cinéma du réel,,Cinéma du réel
Mention spéciale,,2012,novembre,,,Cinéma et droits humains,,Film Festival,,Paris,France,Manque de preuves,Kwon,Hayoun,396,Cinéma et droits humains,,Cinéma et droits humains
Mention spéciale,,2003,,,,Cinéma Méditerranéen,,Film Festival,,Montpellier,France,Courant d'air,Martirosyan,Nora,,Cinéma Méditerranéen,,Cinéma Méditerranéen
Mention spéciale du jury,,2006,,,,Cinémages,,Film Festival,,,France,Ligne Verte,Mareshal,Laurent,72,Cinémages,,Cinémages
meilleur film expérimental,,2015,décembre,,,Cinemaiubit,,Film Festival,,Bucarest,Roumanie,Le Park,Maroufi,Randa,16,Cinemaiubit,,Cinemaiubit
Winner of esplora category,,2009,aout,,,Concorto,,Film Festival,,Pontenure,Italie,Naufrage,Durand,Clorinde,254,Concorto,,Concorto
1er prix jeunes talents,,2010,,,,Concours Air France,,Concours,,,France,Phone Tapping,Won Lee,Hee,286,Concours Air France,,Concours Air France
1 er prix,installations sonores,2005,,,,Concours international de musique et d'art sonore electroaccoustiques,,Multimedia festival,,Bourges,France,Dropper 01,Fabre,Arno,,Concours international de musique et d'art sonore electroaccoustiques,,Concours international de musique et d'art sonore electroaccoustiques
Premier Prix,,2008,,,,COR-10,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212,COR-10,,COR-10
Onda Curta Award,,2006,,,,Corta !,,Short Film Festival,,Porto,Portugal,Ligne Verte,Mareshal,Laurent,72,Corta !,,Corta !
Prix du jury,,2011,juin,,,Côté Court,,Short Film Festival,,Pantin,France,Bobok,Leibovitz,Simon,343,Côté Court,,Côté Court
Prix Renard pour la bande sonore,,2016,juin,,,Côté Court,,Short Film Festival,,Pantin,France,Isabella Morra,Pagliai,Isabel,574,Côté Court,,Côté Court
Grand prix art vidéo,,2017,,06/07/20,06/17/20,Côté Court,,Short Film Festival,,Pantin,France,Tact,Le Maguer,Thibaud,676,Côté Court,,Côté Court
Best political documentary,,2012,,,,Couch Fest Film,,Wordwide film festival,,,,Manque de preuves,Kwon,Hayoun,396,Couch Fest Film,,Couch Fest Film
Mention spéciale du jury,Yellow Robin,2019,,01/10/20,01/14/20,Curaçao,,International Film Festival,,Rotterdam,Pays-Bas,En Cendres,Rodríguez Triana,Camila,854,Curaçao,,Curaçao
Meilleur documentaire,,2012,septembre,,,Curtocircuito,,Short Film Festival,,Saint-Jaques de Compostelle,Espagne,Manque de preuves,Kwon,Hayoun,396,Curtocircuito,,Curtocircuito
Prix des nouvelles écritures,,2012,octobre,,,Cutlog,Mont Blanc,Gala,,Paris,France,Manque de preuves,Kwon,Hayoun,396,Cutlog,,Cutlog
Prix spécial du jury,,2012,septembre,,,Cutlog,,Gala,,,France,Plastic and Glass,Joosse,Tessa,284,Cutlog,,Cutlog
Prix spécial du jury,,2012,,,,Cutlog Paris,,Gala,,Paris,France,Brises,Ramirez,Enrique,238,Cutlog Paris,,Cutlog Paris
Prix Ars,computer animation,2016,,,,CyberArts,,Multimedia festival,,,,Tehran-Geles,Nassiri,Arash,29,CyberArts,,CyberArts
Award of Hungarian student jury,student-work section,2010,,,,Dialektus,,International Documentary Film Festival,,Budapest,Hongrie,Plastic and Glass,Joosse,Tessa,284,Dialektus,,Dialektus
Prix spécial du jury,,2008,décembre,,,Doc en court,,International Documentary Film Festival,,Lyon,France,L'agnosie visuelle,Meigneux,Guillaume,189,Doc en court,,Doc en court
Grand Prix,,2010,,,,Documenta,,International Documentary Film Festival,,Madrid,Espagne,La Quemadura,Ballesteros,René,278,Documenta,Documenta,Documenta
Meilleur court-métrage,,2016,avril,,,DOKer,,International Documentary Film Festival,,Moscou,Russie,Isabella Morra,Pagliai,Isabel,574,DOKer,,DOKer
Mention spéciale,,2016,aout,,,Dokufest,,International Documentary Film Festival,,Priznen,Kosovo,Le Park,Maroufi,Randa,16,Dokufest,,Dokufest
Mention spéciale du jury,,2016,mai-juin,,,Dresden,,Short Film Festival,,Dresden,Allemagne,Le Park,Maroufi,Randa,16,Dresden,,Dresden
Meilleur court-métrage,,2016,juillet,,,Du Cinéma sous les étoiles,,Film Festival,,Lyon,France,Isabella Morra,Pagliai,Isabel,574,Du Cinéma sous les étoiles,,Du Cinéma sous les étoiles
Prix Scam* Jeune talent,,2008,,,,E-Magiciens,,Film Festival,,,France,Le Corso,Dezoteux,Bertrand,248,E-Magiciens,,E-Magiciens
EMAF,,2012,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Manque de preuves,Kwon,Hayoun,396,EMAF,,EMAF
Prix du dialogue,,2016,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Le Park,Maroufi,Randa,16,EMAF,,EMAF
Grand prix du court-métrage,court-métrage,2002,,,,Entrevues,,Film Festival,,Belfort,France,Paul Johnson après sa fuite équatoriale,Maudru,Arnaud,,Entrevues,,Entrevues Belfort – Festival international du film
Grand prix du court-métrage,,2003,,,,Entrevues,,Film Festival,,Belfort,France,Courant d'air,Martirosyan,Nora,,Entrevues,,Entrevues Belfort – Festival international du film
Short film prize,,2010,,,,Environmental,,Film Festival,,Paris,France,Plastic and Glass,Joosse,Tessa,284,Environmental,,Environmental
Mention spéciale (mise en scène),,2011,,,,Etiuda,,Film Festival,,Krakowie,Pologne,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409,Etiuda,,Etiuda
Silver Dinosaur,,2008,novembre,,,Etiuda & Anima,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253,Etiuda & Anima,,Etiuda & Anima
Best documentary,competition internationale,2019,,09/13/20,09/17/20,Eureka University,,Film Festival,,Bogota,Colombie,Swatted,Joffroy Chandoutis,Ismaël,842,Eureka University,,Eureka University
Prix du jury,,2013,novembre,,,Eurydice,,Film Festival,,Fécamp,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509,Eurydice,,Eurydice
1er prix du jury,,2008,,,,Ex.Is,,Film Festival,,Bilbao,Espagne,Entre un œil et l'autre,Legros,Laetitia,196,Ex.Is,,Ex.Is
Mention honorable,,2007,,,,Exground,,Film Festival,,,Allemagne,Under Construction,Liu,Zhenchen,212,Exground,,Exground
Prix du jury,,2014,décembre,,,Fémina,,Film Festival,,Rio,Brésil,A idade da pedra,Vaz,Ana,523,Fémina,,Fémina
Prix numérique,,2008,,,,Festival du cinéma européen,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212,Festival du cinéma européen,,Festival du cinéma européen
Meilleur documentaire,,2012,septembre,,,Festival du court métrage de Lille,,Short Film Festival,,Lille,France,Manque de preuves,Kwon,Hayoun,396,Festival du court métrage de Lille,,Festival du court métrage de Lille
Meilleur film,Compétition nationale,2015,mai-juin,,,Festival du court métrage indépendant,,Short Film Festival,,Vienne,Autriche,"Of stains, scrap & tires",Brameshuber,Sebastian,5,Festival du court métrage indépendant,,Festival du court métrage indépendant
Jameson short award,,2003,,,,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Chamonix,Mréjan,Valérie,,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand
Mention spéciale du jury (photographie),,2016,fevrier,,,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Isabella Morra,Pagliai,Isabel,574,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand
Prix Festival Connexion Auvergne Rhône-Alpes,,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Ondes noires,Joffroy Chandoutis,Ismaël,770,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand
Grand Prix,Labo,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Retour,Huang,Pang-Chuan,764,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand
Grand prix du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Last year when the train passed by,Huang,Pang-Chuan,838,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand
Prix special du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand
Lenzing Award (bronze),,2014,mai,,,Festival of nations,,Film Festival,,Lenzing,Autriche,Killing a pig without Mao,Huang,Zhenqian,504,Festival of nations,,Festival of nations
Mention spéciale,,2008,,,,Festival Vidéo d'Orléans,,Film Festival,,Orléans,France,Under Construction,Liu,Zhenchen,212,Festival Vidéo d'Orléans,,Festival Vidéo d'Orléans
Prix Marcel Duchamp,,2008,,,,FIAC,,Gala,,Paris,France,,Grasso,Laurent,,FIAC,,FIAC
Prix du jury,,2015,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Chaque fois qu'on se dit au revoir,Liang,Chao,586,FIDEC,,FIDEC
Prix de l'innovation,,2016,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Ciudad Maya,Padilla Domene,Andrès,680,FIDEC,,FIDEC
Mention spéciale,,2009,,,,Film Essay Award,,Prix annuel,Université autonome de Barcelone,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212,Film Essay Award,,Film Essay Award
Mention honorable,,2018,,09/27/20,10/06/20,Filmfest Hamburg,,Film Festival,,Hambourg,Allemagne,Una Luna de hierro,Rodriguez,Francisco,785,Filmfest Hamburg,,Filmfest Hamburg
Prix du jury,multimédia,2019,,07/10/20,01/19/20,FLIP,,Multimedia festival,,Parthenay,France,Plague,Jibert,Damien,841,FLIP,,FLIP
Prix talent d'argent,,2011,,,,Fondation Schneider,,Prix annuel,Fondation Schneider,Wattwiller,France,Le cours des cours,Rigaux,Bertrand,135,Fondation Schneider,,Fondation Schneider
Prix Talents contemporains,,2016,,,,Fondation Schneider,,Fondation,,,France,Focus on infinity,Lavenne,Mathilde,584,Fondation Schneider,,Fondation Schneider
3ème prix Forward thinking museum,,2011,,,,Forward thinking museum,,Prix annuel,,,,Concrete mirrors,de Beyter,David,356,Forward thinking museum,,Forward thinking museum
Premier Prix,,2008,,,,Four Film Festival,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212,Four Film Festival,,Four Film Festival
Mention spéciale du jury,,2014,aout,,,Fresh Film Fest,,Film Festival,,Prague,République-Tchèque,Gli immacolati,Trocker,Ronny,522,Fresh Film Fest,,Fresh Film Fest
Young jury award,,2019,,11/05/20,11/10/20,Front Doc.,,International Documentary Film Festival,,Aoste,Italie,Swatted,Joffroy Chandoutis,Ismaël,842,Front Doc.,,Front Doc.
Best short documentary,,2019,,07/19/20,07/28/20,GIFF,,International Film Festival,,Guanajuto,Mexique,Swatted,Joffroy Chandoutis,Ismaël,842,GIFF,Giff,Giff
Prix Seccio Creacio,,2008,septembre,,,Girona,,Film Festival,,Gérone,Espagne,Naufrage,Durand,Clorinde,254,Girona,,Girona
Prix spécial du ministère,,2016,,,,GISFF,,Film Festival,,Téhéran,Iran,Focus on infinity,Lavenne,Mathilde,584,GISFF,,GISFF
Honorary distinction for best sound design,,2019,,09/15/20,09/21/20,Greek Short,,Film Festival,,Drama,Grèce,Sable noir,Trouboukis,Thanasis,861,Greek Short,,Greek Short
Best documentary,,2018,décembre,,,GZDOC,,International Documentary Film Festival,,Guangzhou,Chine,Ondes noires,Joffroy Chandoutis,Ismaël,770,GZDOC,,GZDOC
Prix du jury,,2015,novembre,,,Hiroshima,,Film Festival,,Hiroshima,Japon,"Archipels, granites dénudées",Hérétakis,Daphné,12,Hiroshima,,Hiroshima
Meilleur court-métrage latino-américain,,2018,,06/07/20,06/15/20,Huesca,,Short Film Festival,,Huesca,Espagne,Una Luna de hierro,Rodriguez,Francisco,785,Huesca,Huesca,Huesca
Meilleur court-métrage,,2017,fevrier-mars,,,IBAFF,,Film Festival,,Murcia,Espagne,Le Park,Maroufi,Randa,16,IBAFF,,IBAFF
Barcelona vidéodance,,2011,octobre,,,IDN,,Multimedia festival,,Barcelone,Espagne,Continuum,Le Roy,Manon,290,IDN,,IDN
Single-screen media gold award,,2007,,,,IFVA,,Film Festival,,Hong-Kong,Chine,Métier à tisser musical,Ng,Kingsley,98,IFVA,,IFVA
Onda Curta Award,,2006,,,,IndieLisboa,,Film Festival,,Lisbonne,Portugal,La Plaine,Edzard,Roland,,IndieLisboa,,IndieLisboa
Best short documentary,,2019,,05/02/20,05/12/20,IndieLisboa,,Film Festival,,Lisbonne,Portugal,Swatted,Joffroy Chandoutis,Ismaël,842,IndieLisboa,,IndieLisboa
1 er prix,art-vidéo,2006,,,,Ingenio 400,,Concours,,Madrid,Espagne,Ligne Verte,Mareshal,Laurent,72,Ingenio 400,,Ingenio 400
Christian-Berger prize,documentaire,2006,,,,Innsbrück,,Film Festival,,Innsbrück,Autriche,True Love,Edkins,Teboho,96,Innsbrück,,Innsbrück
Golden olive award,,2008,,,,International Bunker,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212,International Bunker,,International Bunker
Best director award,,2006,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,La Plaine,Edzard,Roland,,International student film festival,,International student film festival
Best picture award,,2007,,,,International student film festival,,Film Festival,,Belgrade,Serbie,Under Construction,Liu,Zhenchen,212,International student film festival,,International student film festival
Best documentary,,2008,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,Under Construction,Liu,Zhenchen,212,International student film festival,,International student film festival
Under 35 award,,2009,septembre,,,Invideo,,Film Festival,,Milan,Italie,Naufrage,Durand,Clorinde,254,Invideo,,Invideo
Premio Under 35,,2014,septembre,,,Invideo,,Film Festival,,Milan,Italie,Une vie radieuse,Hardt,Meryll,500,Invideo,,Invideo
Premio Under 35,,2015,septembre,,,Invideo,,Film Festival,,Milan,Italie,Céos I Phoébé,Rodes,David,564,Invideo,,Invideo
K3 jury award,,2011,décembre,,,K3,,Film Festival,,Vienne,Autriche,Phone Tapping,Won Lee,Hee,286,K3,,K3
"Second, prix de Taïwan",,2018,,10/19/20,10/04/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Retour,Huang,Pang-Chuan,764,Kaohsiung,,Kaohsiung
Mention spéciale du jury,short film,2019,,10/10/20,10/27/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Swatted,Joffroy Chandoutis,Ismaël,842,Kaohsiung,,Kaohsiung
Mention spéciale du jury,,2019,,04/17/20,04/21/20,Kiev,,Short Film Festival,,Kiev,Ukraine,Omarska,Sasindran,Varun,855,Kiev,,Kiev
Best animation,,2014,,,,Kurzundschön,,Short Film Festival,,,Allemagne,Gli immacolati,Trocker,Ronny,522,Kurzundschön,,Kurzundschön
Meilleur montage,,2003,,,,L'Acharnière,,Film Festival,,Lille,France,Courant d'air,Martirosyan,Nora,,L'Acharnière,,L'Acharnière
Prix de l'INA,,2005,,,,L'Acharnière,,Film Festival,,Lille,France,Japon : un pays lointain,Yabuki,Takako,,L'Acharnière,,L'Acharnière
Prix de l'innovation,,2008,,,,L'Acharnière,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212,L'Acharnière,,L'Acharnière
Prix de l'institut des sciences et techniques de Valenciennes,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250,L'Acharnière,,L'Acharnière
Prix jeunes taletns,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250,L'Acharnière,,L'Acharnière
Grand Prix,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284,L'Acharnière,,L'Acharnière
Prix CER des cheminots,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284,L'Acharnière,,L'Acharnière
CER des cheminots du Nord-pas -de-Calais,,2011,juin,,,L'Acharnière,,Film Festival,,Lille,France,Toujours moins,Moullet,Luc,375,L'Acharnière,,L'Acharnière
Prix de l'innovation,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Cuisine américaine,Pluvinage,Justine,570,L'Acharnière,,L'Acharnière
Prix de la mise en scène,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Reinsende auf einem bein,Petru Badelita,Alexandru,569,L'Acharnière,,L'Acharnière
Prix de l'innovation,,2017,juin,,,L'Acharnière,,Film Festival,,Lille,France,"I made you, I kill you",Petru Badelita,Alexandru,658,L'Acharnière,,L'Acharnière
Meilleur montage,,2019,,06/06/20,06/09/20,L'Acharnière,,Film Festival,,Lille,France,Last year when the train passed by,Huang,Pang-Chuan,838,L'Acharnière,,L'Acharnière
Mention spéciale,,2007,,,,L'Alternativa,,Film Festival,,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212,L'Alternativa,,L'Alternativa
Prix du Jury,,2016,septembre,,,La Nuit de l'Instant,,Multimedia festival,,Marseille,France,Le Park,Maroufi,Randa,16,La Nuit de l'Instant,,La Nuit de l'Instant
Coup de cœur du jury,,2010,novembre,,,Le Réel en vue,,Film Festival,,Thionville,France,Plastic and Glass,Joosse,Tessa,284,Le Réel en vue,,Le Réel en vue
Meilleur film,,2009,septembre,,,Lebanese,,Film Festival,,Beyrouth,Liban,Un instant mon glamour,Abu Shaqra,Shirin,277,Lebanese,,Lebanese
Mention spéciale du jury,,2008,,,,Les écrans documentaires,,Film Festival,,Arcueil,France,Under Construction,Liu,Zhenchen,212,Les écrans documentaires,,Les écrans documentaires
Prix du jury presse,,2014,octobre,,,Les Enfants terribles,,Film Festival,,Huy,Belgique,Tehran-Geles,Nassiri,Arash,29,Les Enfants terribles,,Les Enfants terribles
Best short film,,2019,,11/13/20,11/24/20,LIFF,,Film Festival,,Llubjana,Slovénie,Last year when the train passed by,Huang,Pang-Chuan,838,LIFF,,LIFF
Best international short film,,2018,,01/11/20,01/20/20,London Short,,Short Film Festival,,Londres,Royaume-Unis,Retour,Huang,Pang-Chuan,764,London Short,,London Short
Meilleur court-métrage,,2004,,,,Luso-brésilien,,Film Festival,,Santa-Maria da Feira,Portugal,Copan,Spinelli,Bernardo,,Luso-brésilien,,Luso-brésilien
