,meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id,artist_id,aw_art_valid
56,Mention spéciale du prix Louis Marcorelles,,2010,mars,,,Cinéma du réel,,International Documentary Film Festival,,Paris,France,Atlantiques,Diop,Mati,282,Cinéma du réel,,Cinéma du réel,1451,18,195,
57,Mention spéciale,,2012,novembre,,,Cinéma et droits humains,,Film Festival,,Paris,France,Manque de preuves,Kwon,Hayoun,396,Cinéma et droits humains,,Cinéma et droits humains,1453,18,253,
58,Mention spéciale,,2003,,,,Cinéma Méditerranéen,,Film Festival,,Montpellier,France,Courant d'air,Martirosyan,Nora,,Cinéma Méditerranéen,,Cinéma Méditerranéen,1455,263,,
59,Mention spéciale du jury,,2006,,,,Cinémages,,Film Festival,,,France,Ligne Verte,Mareshal,Laurent,72,Cinémages,,Cinémages,1457,264,328,
60,meilleur film expérimental,,2015,décembre,,,Cinemaiubit,,Film Festival,,Bucarest,Roumanie,Le Park,Maroufi,Randa,16,Cinemaiubit,,Cinemaiubit,1459,97,28,False
67,Winner of esplora category,,2009,aout,,,Concorto,,Film Festival,,Pontenure,Italie,Naufrage,Durand,Clorinde,254,Concorto,,Concorto,1466,265,197,
68,1er prix jeunes talents,,2010,,,,Concours Air France,,Concours,,,France,Phone Tapping,Won Lee,Hee,286,Concours Air France,,Concours Air France,1468,264,227,
69,1 er prix,installations sonores,2005,,,,Concours international de musique et d'art sonore electroaccoustiques,,Multimedia festival,,Bourges,France,Dropper 01,Fabre,Arno,,Concours international de musique et d'art sonore electroaccoustiques,,Concours international de musique et d'art sonore electroaccoustiques,1470,266,,
70,Premier Prix,,2008,,,,COR-10,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212,COR-10,,COR-10,1472,248,160,
71,Onda Curta Award,,2006,,,,Corta !,,Short Film Festival,,Porto,Portugal,Ligne Verte,Mareshal,Laurent,72,Corta !,,Corta !,1474,267,328,
74,Prix du jury,,2011,juin,,,Côté Court,,Short Film Festival,,Pantin,France,Bobok,Leibovitz,Simon,343,Côté Court,,Côté Court,1478,123,254,
73,Prix Renard pour la bande sonore,,2016,juin,,,Côté Court,,Short Film Festival,,Pantin,France,Isabella Morra,Pagliai,Isabel,574,Côté Court,,Côté Court,1477,123,544,
72,Grand prix art vidéo,,2017,,06/07/20,06/17/20,Côté Court,,Short Film Festival,,Pantin,France,Tact,Le Maguer,Thibaud,676,Côté Court,,Côté Court,1476,123,570,
75,Best political documentary,,2012,,,,Couch Fest Film,,Wordwide film festival,,,,Manque de preuves,Kwon,Hayoun,396,Couch Fest Film,,Couch Fest Film,1480,,253,
76,Mention spéciale du jury,Yellow Robin,2019,,01/10/20,01/14/20,Curaçao,,International Film Festival,,Rotterdam,Pays-Bas,En Cendres,Rodríguez Triana,Camila,854,Curaçao,,Curaçao,1482,14,831,
77,Meilleur documentaire,,2012,septembre,,,Curtocircuito,,Short Film Festival,,Saint-Jaques de Compostelle,Espagne,Manque de preuves,Kwon,Hayoun,396,Curtocircuito,,Curtocircuito,1484,268,253,
79,Prix spécial du jury,,2012,septembre,,,Cutlog,,Gala,,,France,Plastic and Glass,Joosse,Tessa,284,Cutlog,,Cutlog,1486,264,224,
78,Prix des nouvelles écritures,,2012,octobre,,,Cutlog,Mont Blanc,Gala,,Paris,France,Manque de preuves,Kwon,Hayoun,396,Cutlog,,Cutlog,1486,18,253,
80,Prix spécial du jury,,2012,,,,Cutlog Paris,,Gala,,Paris,France,Brises,Ramirez,Enrique,238,Cutlog Paris,,Cutlog Paris,1488,18,208,
81,Prix Ars,computer animation,2016,,,,CyberArts,,Multimedia festival,,,,Tehran-Geles,Nassiri,Arash,29,CyberArts,,CyberArts,1490,,34,
82,Award of Hungarian student jury,student-work section,2010,,,,Dialektus,,International Documentary Film Festival,,Budapest,Hongrie,Plastic and Glass,Joosse,Tessa,284,Dialektus,,Dialektus,1492,269,224,
83,Prix spécial du jury,,2008,décembre,,,Doc en court,,International Documentary Film Festival,,Lyon,France,L'agnosie visuelle,Meigneux,Guillaume,189,Doc en court,,Doc en court,1494,56,185,
84,Grand Prix,,2010,,,,Documenta,,International Documentary Film Festival,,Madrid,Espagne,La Quemadura,Ballesteros,René,278,Documenta,Documenta,Documenta,1495,78,216,
85,Meilleur court-métrage,,2016,avril,,,DOKer,,International Documentary Film Festival,,Moscou,Russie,Isabella Morra,Pagliai,Isabel,574,DOKer,,DOKer,1497,33,544,
86,Mention spéciale,,2016,aout,,,Dokufest,,International Documentary Film Festival,,Priznen,Kosovo,Le Park,Maroufi,Randa,16,Dokufest,,Dokufest,1499,270,28,False
87,Mention spéciale du jury,,2016,mai-juin,,,Dresden,,Short Film Festival,,Dresden,Allemagne,Le Park,Maroufi,Randa,16,Dresden,,Dresden,1501,112,28,False
88,Meilleur court-métrage,,2016,juillet,,,Du Cinéma sous les étoiles,,Film Festival,,Lyon,France,Isabella Morra,Pagliai,Isabel,574,Du Cinéma sous les étoiles,,Du Cinéma sous les étoiles,1503,56,544,
89,Prix Scam* Jeune talent,,2008,,,,E-Magiciens,,Film Festival,,,France,Le Corso,Dezoteux,Bertrand,248,E-Magiciens,,E-Magiciens,1505,264,172,
90,Prix du dialogue,,2016,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Le Park,Maroufi,Randa,16,EMAF,,EMAF,1507,46,28,False
91,EMAF,,2012,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Manque de preuves,Kwon,Hayoun,396,EMAF,,EMAF,1508,46,253,
93,Grand prix du court-métrage,court-métrage,2002,,,,Entrevues,,Film Festival,,Belfort,France,Paul Johnson après sa fuite équatoriale,Maudru,Arnaud,,Entrevues,,Entrevues Belfort – Festival international du film,1511,161,,
92,Grand prix du court-métrage,,2003,,,,Entrevues,,Film Festival,,Belfort,France,Courant d'air,Martirosyan,Nora,,Entrevues,,Entrevues Belfort – Festival international du film,1510,161,,
94,Short film prize,,2010,,,,Environmental,,Film Festival,,Paris,France,Plastic and Glass,Joosse,Tessa,284,Environmental,,Environmental,1513,18,224,
95,Mention spéciale (mise en scène),,2011,,,,Etiuda,,Film Festival,,Krakowie,Pologne,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409,Etiuda,,Etiuda,1515,271,282,
96,Silver Dinosaur,,2008,novembre,,,Etiuda & Anima,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253,Etiuda & Anima,,Etiuda & Anima,1517,272,,False
97,Best documentary,competition internationale,2019,,09/13/20,09/17/20,Eureka University,,Film Festival,,Bogota,Colombie,Swatted,Joffroy Chandoutis,Ismaël,842,Eureka University,,Eureka University,1519,155,671,
98,Prix du jury,,2013,novembre,,,Eurydice,,Film Festival,,Fécamp,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509,Eurydice,,Eurydice,1521,273,302,
99,1er prix du jury,,2008,,,,Ex.Is,,Film Festival,,Bilbao,Espagne,Entre un œil et l'autre,Legros,Laetitia,196,Ex.Is,,Ex.Is,1523,174,180,
100,Mention honorable,,2007,,,,Exground,,Film Festival,,,Allemagne,Under Construction,Liu,Zhenchen,212,Exground,,Exground,1525,274,160,
101,Prix du jury,,2014,décembre,,,Fémina,,Film Festival,,Rio,Brésil,A idade da pedra,Vaz,Ana,523,Fémina,,Fémina,1527,275,,
102,Prix numérique,,2008,,,,Festival du cinéma européen,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212,Festival du cinéma européen,,Festival du cinéma européen,1529,200,160,
103,Meilleur documentaire,,2012,septembre,,,Festival du court métrage de Lille,,Short Film Festival,,Lille,France,Manque de preuves,Kwon,Hayoun,396,Festival du court métrage de Lille,,Festival du court métrage de Lille,1531,200,253,
104,Meilleur film,Compétition nationale,2015,mai-juin,,,Festival du court métrage indépendant,,Short Film Festival,,Vienne,Autriche,"Of stains, scrap & tires",Brameshuber,Sebastian,5,Festival du court métrage indépendant,,Festival du court métrage indépendant,1533,65,9,
65,Mention spéciale du jury (photographie),,2016,fevrier,,,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Isabella Morra,Pagliai,Isabel,574,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1463,58,544,
64,Grand Prix,Labo,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Retour,Huang,Pang-Chuan,764,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1462,58,667,
62,Prix Festival Connexion Auvergne Rhône-Alpes,,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Ondes noires,Joffroy Chandoutis,Ismaël,770,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1462,58,671,
63,Grand prix du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Last year when the train passed by,Huang,Pang-Chuan,838,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1461,58,667,
61,Prix special du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1461,58,671,
66,Jameson short award,,2003,,,,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Chamonix,Mréjan,Valérie,,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1464,58,,
105,Lenzing Award (bronze),,2014,mai,,,Festival of nations,,Film Festival,,Lenzing,Autriche,Killing a pig without Mao,Huang,Zhenqian,504,Festival of nations,,Festival of nations,1535,276,21,
106,Mention spéciale,,2008,,,,Festival Vidéo d'Orléans,,Film Festival,,Orléans,France,Under Construction,Liu,Zhenchen,212,Festival Vidéo d'Orléans,,Festival Vidéo d'Orléans,1537,277,160,
107,Prix Marcel Duchamp,,2008,,,,FIAC,,Gala,,Paris,France,,Grasso,Laurent,,FIAC,,FIAC,1539,18,,
109,Prix du jury,,2015,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Chaque fois qu'on se dit au revoir,Liang,Chao,586,FIDEC,,FIDEC,1542,278,541,
108,Prix de l'innovation,,2016,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Ciudad Maya,Padilla Domene,Andrès,680,FIDEC,,FIDEC,1541,278,572,
110,Mention spéciale,,2009,,,,Film Essay Award,,Prix annuel,Université autonome de Barcelone,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212,Film Essay Award,,Film Essay Award,1544,48,160,
