meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id
Mention spéciale du jury,long métrage,2010,octobre,,,Cine B,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278.0,Cine B,,Cine B,1445.0,215.0
"Prix du court-métrage ""ado""",,2012,mars,,,Ciné-jeune,,Film Festival,,Laon,France,Fireworks,Abbruzzese,Giacomo,380.0,Ciné-jeune,,Ciné-jeune,1447.0,258.0
Mention spéciale,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212.0,Cine'Eco,,Cine'Eco,1449.0,259.0
Prix Joris Ivens,premier film,2010,,,,Cinéma du réel,,Film Festival,,Paris,France,La Quemadura,Ballesteros,René,278.0,Cinéma du réel,,Cinéma du réel,1451.0,18.0
Mention spéciale,,2003,,,,Cinéma Méditerranéen,,Film Festival,,Montpellier,France,Courant d'air,Martirosyan,Nora,,Cinéma Méditerranéen,,Cinéma Méditerranéen,1455.0,260.0
Mention spéciale du jury,,2006,,,,Cinémages,,Film Festival,,,France,Ligne Verte,Mareshal,Laurent,72.0,Cinémages,,Cinémages,1457.0,261.0
Prix special du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1461.0,58.0
Winner of esplora category,,2009,aout,,,Concorto,,Film Festival,,Pontenure,Italie,Naufrage,Durand,Clorinde,254.0,Concorto,,Concorto,1466.0,262.0
1 er prix,installations sonores,2005,,,,Concours international de musique et d'art sonore electroaccoustiques,,Multimedia festival,,Bourges,France,Dropper 01,Fabre,Arno,,Concours international de musique et d'art sonore electroaccoustiques,,Concours international de musique et d'art sonore electroaccoustiques,1470.0,263.0
Onda Curta Award,,2006,,,,Corta !,,Short Film Festival,,Porto,Portugal,Ligne Verte,Mareshal,Laurent,72.0,Corta !,,Corta !,1474.0,264.0
Grand prix art vidéo,,2017,,06/07/20,06/17/20,Côté Court,,Short Film Festival,,Pantin,France,Tact,Le Maguer,Thibaud,676.0,Côté Court,,Côté Court,1476.0,123.0
Mention spéciale du jury,Yellow Robin,2019,,01/10/20,01/14/20,Curaçao,,International Film Festival,,Rotterdam,Pays-Bas,En Cendres,Rodríguez Triana,Camila,854.0,Curaçao,,Curaçao,1482.0,14.0
Meilleur documentaire,,2012,septembre,,,Curtocircuito,,Short Film Festival,,Saint-Jaques de Compostelle,Espagne,Manque de preuves,Kwon,Hayoun,396.0,Curtocircuito,,Curtocircuito,1484.0,265.0
Award of Hungarian student jury,student-work section,2010,,,,Dialektus,,International Documentary Film Festival,,Budapest,Hongrie,Plastic and Glass,Joosse,Tessa,284.0,Dialektus,,Dialektus,1492.0,266.0
Prix spécial du jury,,2008,décembre,,,Doc en court,,International Documentary Film Festival,,Lyon,France,L'agnosie visuelle,Meigneux,Guillaume,189.0,Doc en court,,Doc en court,1494.0,56.0
Meilleur court-métrage,,2016,avril,,,DOKer,,International Documentary Film Festival,,Moscou,Russie,Isabella Morra,Pagliai,Isabel,574.0,DOKer,,DOKer,1497.0,33.0
Mention spéciale,,2016,aout,,,Dokufest,,International Documentary Film Festival,,Priznen,Kosovo,Le Park,Maroufi,Randa,16.0,Dokufest,,Dokufest,1499.0,267.0
Mention spéciale du jury,,2016,mai-juin,,,Dresden,,Short Film Festival,,Dresden,Allemagne,Le Park,Maroufi,Randa,16.0,Dresden,,Dresden,1501.0,112.0
Prix du dialogue,,2016,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Le Park,Maroufi,Randa,16.0,EMAF,,EMAF,1507.0,46.0
Grand prix du court-métrage,,2003,,,,Entrevues,,Film Festival,,Belfort,France,Courant d'air,Martirosyan,Nora,,Entrevues,,Entrevues Belfort – Festival international du film,1510.0,161.0
Mention spéciale (mise en scène),,2011,,,,Etiuda,,Film Festival,,Krakowie,Pologne,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409.0,Etiuda,,Etiuda,1515.0,268.0
Silver Dinosaur,,2008,novembre,,,Etiuda & Anima,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253.0,Etiuda & Anima,,Etiuda & Anima,1517.0,269.0
Prix du jury,,2013,novembre,,,Eurydice,,Film Festival,,Fécamp,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Eurydice,,Eurydice,1521.0,270.0
1er prix du jury,,2008,,,,Ex.Is,,Film Festival,,Bilbao,Espagne,Entre un œil et l'autre,Legros,Laetitia,196.0,Ex.Is,,Ex.Is,1523.0,174.0
Mention honorable,,2007,,,,Exground,,Film Festival,,,Allemagne,Under Construction,Liu,Zhenchen,212.0,Exground,,Exground,1525.0,271.0
Prix du jury,,2014,décembre,,,Fémina,,Film Festival,,Rio,Brésil,A idade da pedra,Vaz,Ana,523.0,Fémina,,Fémina,1527.0,272.0
Lenzing Award (bronze),,2014,mai,,,Festival of nations,,Film Festival,,Lenzing,Autriche,Killing a pig without Mao,Huang,Zhenqian,504.0,Festival of nations,,Festival of nations,1535.0,273.0
Mention spéciale,,2008,,,,Festival Vidéo d'Orléans,,Film Festival,,Orléans,France,Under Construction,Liu,Zhenchen,212.0,Festival Vidéo d'Orléans,,Festival Vidéo d'Orléans,1537.0,274.0
Prix de l'innovation,,2016,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Ciudad Maya,Padilla Domene,Andrès,680.0,FIDEC,,FIDEC,1541.0,275.0
Mention spéciale,,2009,,,,Film Essay Award,,Prix annuel,Université autonome de Barcelone,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212.0,Film Essay Award,,Film Essay Award,1544.0,48.0
Mention honorable,,2018,,09/27/20,10/06/20,Filmfest Hamburg,,Film Festival,,Hambourg,Allemagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Filmfest Hamburg,,Filmfest Hamburg,1546.0,276.0
Prix du jury,multimédia,2019,,07/10/20,01/19/20,FLIP,,Multimedia festival,,Parthenay,France,Plague,Jibert,Damien,841.0,FLIP,,FLIP,1548.0,277.0
Prix talent d'argent,,2011,,,,Fondation Schneider,,Prix annuel,Fondation Schneider,Wattwiller,France,Le cours des cours,Rigaux,Bertrand,135.0,Fondation Schneider,,Fondation Schneider,1551.0,278.0
Premier Prix,,2008,,,,Four Film Festival,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212.0,Four Film Festival,,Four Film Festival,1555.0,279.0
Mention spéciale du jury,,2014,aout,,,Fresh Film Fest,,Film Festival,,Prague,République-Tchèque,Gli immacolati,Trocker,Ronny,522.0,Fresh Film Fest,,Fresh Film Fest,1557.0,213.0
Young jury award,,2019,,11/05/20,11/10/20,Front Doc.,,International Documentary Film Festival,,Aoste,Italie,Swatted,Joffroy Chandoutis,Ismaël,842.0,Front Doc.,,Front Doc.,1559.0,280.0
Best short documentary,,2019,,07/19/20,07/28/20,GIFF,,International Film Festival,,Guanajuto,Mexique,Swatted,Joffroy Chandoutis,Ismaël,842.0,GIFF,Giff,Giff,1560.0,281.0
Prix Seccio Creacio,,2008,septembre,,,Girona,,Film Festival,,Gérone,Espagne,Naufrage,Durand,Clorinde,254.0,Girona,,Girona,1562.0,282.0
Prix spécial du ministère,,2016,,,,GISFF,,Film Festival,,Téhéran,Iran,Focus on infinity,Lavenne,Mathilde,584.0,GISFF,,GISFF,1564.0,283.0
Honorary distinction for best sound design,,2019,,09/15/20,09/21/20,Greek Short,,Film Festival,,Drama,Grèce,Sable noir,Trouboukis,Thanasis,861.0,Greek Short,,Greek Short,1566.0,145.0
Best documentary,,2018,décembre,,,GZDOC,,International Documentary Film Festival,,Guangzhou,Chine,Ondes noires,Joffroy Chandoutis,Ismaël,770.0,GZDOC,,GZDOC,1568.0,284.0
Prix du jury,,2015,novembre,,,Hiroshima,,Film Festival,,Hiroshima,Japon,"Archipels, granites dénudées",Hérétakis,Daphné,12.0,Hiroshima,,Hiroshima,1570.0,172.0
Meilleur court-métrage latino-américain,,2018,,06/07/20,06/15/20,Huesca,,Short Film Festival,,Huesca,Espagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Huesca,Huesca,Huesca,1571.0,131.0
Meilleur court-métrage,,2017,fevrier-mars,,,IBAFF,,Film Festival,,Murcia,Espagne,Le Park,Maroufi,Randa,16.0,IBAFF,,IBAFF,1573.0,285.0
Single-screen media gold award,,2007,,,,IFVA,,Film Festival,,Hong-Kong,Chine,Métier à tisser musical,Ng,Kingsley,98.0,IFVA,,IFVA,1577.0,69.0
Best short documentary,,2019,,05/02/20,05/12/20,IndieLisboa,,Film Festival,,Lisbonne,Portugal,Swatted,Joffroy Chandoutis,Ismaël,842.0,IndieLisboa,,IndieLisboa,1579.0,286.0
Christian-Berger prize,documentaire,2006,,,,Innsbrück,,Film Festival,,Innsbrück,Autriche,True Love,Edkins,Teboho,96.0,Innsbrück,,Innsbrück,1584.0,287.0
Best documentary,,2008,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,Under Construction,Liu,Zhenchen,212.0,International student film festival,,International student film festival,1588.0,288.0
Premio Under 35,,2015,septembre,,,Invideo,,Film Festival,,Milan,Italie,Céos I Phoébé,Rodes,David,564.0,Invideo,,Invideo,1592.0,127.0
Mention spéciale du jury,short film,2019,,10/10/20,10/27/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Swatted,Joffroy Chandoutis,Ismaël,842.0,Kaohsiung,,Kaohsiung,1598.0,115.0
Mention spéciale du jury,,2019,,04/17/20,04/21/20,Kiev,,Short Film Festival,,Kiev,Ukraine,Omarska,Sasindran,Varun,855.0,Kiev,,Kiev,1601.0,289.0
Prix du Jury,,2016,septembre,,,La Nuit de l'Instant,,Multimedia festival,,Marseille,France,Le Park,Maroufi,Randa,16.0,La Nuit de l'Instant,,La Nuit de l'Instant,1617.0,42.0
Coup de cœur du jury,,2010,novembre,,,Le Réel en vue,,Film Festival,,Thionville,France,Plastic and Glass,Joosse,Tessa,284.0,Le Réel en vue,,Le Réel en vue,1619.0,290.0
Meilleur film,,2009,septembre,,,Lebanese,,Film Festival,,Beyrouth,Liban,Un instant mon glamour,Abu Shaqra,Shirin,277.0,Lebanese,,Lebanese,1621.0,291.0
Mention spéciale du jury,,2008,,,,Les écrans documentaires,,Film Festival,,Arcueil,France,Under Construction,Liu,Zhenchen,212.0,Les écrans documentaires,,Les écrans documentaires,1623.0,171.0
Prix du jury presse,,2014,octobre,,,Les Enfants terribles,,Film Festival,,Huy,Belgique,Tehran-Geles,Nassiri,Arash,29.0,Les Enfants terribles,,Les Enfants terribles,1625.0,292.0
Best short film,,2019,,11/13/20,11/24/20,LIFF,,Film Festival,,Llubjana,Slovénie,Last year when the train passed by,Huang,Pang-Chuan,838.0,LIFF,,LIFF,1627.0,293.0
Best international short film,,2018,,01/11/20,01/20/20,London Short,,Short Film Festival,,Londres,Royaume-Unis,Retour,Huang,Pang-Chuan,764.0,London Short,,London Short,1629.0,294.0
Meilleur court-métrage,,2004,,,,Luso-brésilien,,Film Festival,,Santa-Maria da Feira,Portugal,Copan,Spinelli,Bernardo,,Luso-brésilien,,Luso-brésilien,1631.0,295.0
Prix OVNI,,2010,,,,Média festival,,Film Festival,,Namur,Belgique,Vous êtes vous déjà fait piquer par une abeille morte,Rubin,Jonathan,231.0,Média festival,,Média festival,1638.0,70.0
Second Pirx,,2010,fevrier,,,Médiacity,,Multimedia festival,,Ontario,Canada,Atlantiques,Diop,Mati,282.0,Médiacity,,Médiacity,1640.0,296.0
Diploma of merit,,2009,,,,Mediaschool,,Prix annuel,,Lodz,Pologne,Plastic and Glass,Joosse,Tessa,284.0,Mediaschool,,Mediaschool,1642.0,297.0
RMIT University award,experimental short film,2015,aout,,,Melbourne,,Film Festival,,Melbourne,Australie,Tehran-Geles,Nassiri,Arash,29.0,Melbourne,,Melbourne,1645.0,141.0
Mention spéciale du jury,,2016,septembre,,,Message to man,,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra,Pagliai,Isabel,574.0,Message to man,,Message to man,1647.0,298.0
Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842.0,Minimalen,,Minimalen,1651.0,211.0
Mention spéciale du jury,,2009,,,,MiradasDoc,,Film Festival,,Guia de Isora,Espagne,Under Construction,Liu,Zhenchen,212.0,MiradasDoc,,MiradasDoc,1653.0,299.0
Grand prix du public,,2017,mars,,,Monde en images,,Film Festival,,Cucuron,France,Les habitants du vent,Sarabi,Abtin,562.0,Monde en images,,Monde en images,1655.0,300.0
Young talent award,,2013,juin,,,Munich,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Munich,,Munich,1657.0,163.0
Best experimental film,,2008,,,,Naoussa,,Film Festival,,Naoussa,Grèce,Under Construction,Liu,Zhenchen,212.0,Naoussa,,Naoussa,1659.0,153.0
Mention spéciale du jury,,2008,,,,Non-Budget,,Film Festival,,,Cuba,Under Construction,Liu,Zhenchen,212.0,Non-Budget,,Non-Budget,1661.0,301.0
"Mention honorable, meilleur court-métrage documentaire",,2019,,06/12/20,06/16/20,Norwegian,,Short Film Festival,,Grimstad,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842.0,Norwegian,,Norwegian,1663.0,132.0
Silver Scales Award (best direction),,2003,,,,Novo Mesto,,Short Film Festival,,Novo Mesto,Slovénie,Vide pour l'amour,Jayasundera,Vimukthi,,Novo Mesto,,Novo Mesto,1665.0,302.0
Prix de la ville,,2011,mai,,,Oberhausen,,Film Festival,,Oberhausen,Allemagne,Sans titre,Beloufa,Neil,332.0,Oberhausen,Oberhausen,Oberhausen,1666.0,117.0
Artistic contribution award,,2014,juin,,,Olhar de Cinema,,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ?,Williams,Eduardo,524.0,Olhar de Cinema,,Olhar de Cinema,1668.0,303.0
Grand Prix,,2010,octobre,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Planet A,Seto,Momoko,256.0,Oslo Screen,,Oslo Screen,1670.0,304.0
Meilleur court métrage,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497.0,PAFF,,PAFF,1675.0,305.0
Mention spéciale du jury,,2017,juin,,,Palm Spring,,Film Festival,,Palm Spring,Etats-Unis,"I made you, I kill you",Petru Badelita,Alexandru,658.0,Palm Spring,Palm Springs,Palm Springs,1677.0,306.0
Best student short (deuxième),,2014,mars,,,Palm Springs,,Short Film Festival,,Palm Springs,Etats-Unis,Gli immacolati,Trocker,Ronny,522.0,Palm Springs,Palm Springs,Palm Springs,1678.0,126.0
Prix du jury,,2009,mars,,,Panorama du cinéma du Maghreb,,Film Festival,,Saint-Denis,France,Abena,El Kamel,Amel,240.0,Panorama du cinéma du Maghreb,,Panorama du cinéma du Maghreb,1680.0,307.0
Grand Prix,,2018,,11/29/20,12/06/20,Poitiers,,Film Festival,,Poitiers,France,All movements should kill the wind,Wang,Yuyan,1211.0,Poitiers,,Poitiers,1684.0,44.0
Mention spéciale du jury,,2004,,,,Premières fois,,Film Festival,,Grasse,France,A l'ami imaginé,Pernot,Laurent,,Premières fois,,Premières fois,1687.0,308.0
Prix des étudiants d'Angers,,2012,janvier,,,Premiers plans,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380.0,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,1689.0,309.0
Grand prix du jury,,2006,,,,Premiers plans,,Film Festival,,Angers,France,La Plaine,Edzard,Roland,,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,1690.0,16.0
Prix Edward Steichen,,2009,,,,Prix Edward Steichen,,Prix annuel,,,Luxembourg,Carrière complète,Bak,Bertille,,Prix Edward Steichen,,Prix Edward Steichen,1692.0,310.0
Prix Médiatine,,2012,,,,Prix Médiatine,,Prix annuel,Centre Wallonie Bruxelles,Bruxelles,Belgique,Cabinet d'affects,Van der Auwera,Emmanuel,372.0,Prix Médiatine,,Prix Médiatine,1694.0,28.0
Grand Prix meilleur film,,2019,,03/11/20,03/16/20,Punto de Vista,,International Documentary Film Festival,,Pampelune,Espagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Punto de Vista,,Punto de Vista,1696.0,311.0
Meilleure fiction,,2012,avril,,,Recontres cinéma-nature,,Film Festival,,Dompierre-sur-Besbre,France,Fireworks,Abbruzzese,Giacomo,380.0,Recontres cinéma-nature,,Recontres cinéma-nature,1701.0,312.0
Prix des cinéphiles,,2013,mai,,,Recontres cinématographiques,,Film Festival,,Digne-les-Bains,France,Jeanne,Reymond,Dania,464.0,Recontres cinématographiques,,Recontres cinématographiques,1703.0,313.0
Mention spéciale du jury,documentaire,2019,,03/13/20,03/17/20,Regard,,Film Festival,,Saguenay,Canada,Swatted,Joffroy Chandoutis,Ismaël,842.0,Regard,Regard,Regard,1704.0,108.0
Prix spécial du jury,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,Gli immacolati,Trocker,Ronny,522.0,Regards au Longs-Courts,,Regards au Longs-Courts,1706.0,144.0
Prix de la ville de Regensburg,,2018,,,,Regensburg,,Film Festival,,Regensburg,Allemagne,Ondes noires,Joffroy Chandoutis,Ismaël,770.0,Regensburg,,Regensburg,1708.0,314.0
Second prix,premiers films documentaire,2018,,03/14/20,03/20/20,Rencontres du cinéma européen,,Film Festival,,Vannes,France,Retour,Huang,Pang-Chuan,764.0,Rencontres du cinéma européen,,Rencontres du cinéma européen,1712.0,315.0
Meilleur court-métrage,,2016,janvier,,,RIDM,,International Documentary Film Festival,,Montréal,Canada,Isabella Morra,Pagliai,Isabel,574.0,RIDM,,RIDM,1719.0,316.0
Best short documentary,,2019,,04/10/20,04/14/20,Rincon,,International Film Festival,,Rincon,Porto Rico,Swatted,Joffroy Chandoutis,Ismaël,842.0,Rincon,,Rincon,1721.0,317.0
Meilleur film expérimental,,2012,octobre,,,Riviera Maya Underground,,Film Festival,,Playa del Carmen,Mexique,"La Bibliothèque, la nuit",Vieira Torres,Joao,410.0,Riviera Maya Underground,,Riviera Maya Underground,1726.0,318.0
Mention spéciale EcoFilm,,2016,septembre,,,Rural Film Fest,,Film Festival,,El Eden de la Mancha,Espagne,Focus on infinity,Lavenne,Mathilde,584.0,Rural Film Fest,,Rural Film Fest,1731.0,319.0
Mention honorifique,,2012,,,,Santa Maria da Feira,,Film Festival,,,Brésil,Version française,Da-Rin,Maya,411.0,Santa Maria da Feira,,Santa Maria da Feira,1735.0,320.0
Best experimental work,,2010,octobre,,,Santa-Cruz,,Film Festival,,Santa-Cruz,Etats-Unis,Plastic and Glass,Joosse,Tessa,284.0,Santa-Cruz,,Santa-Cruz,1737.0,321.0
Best short film,,2007,,,,Sao Paulo,,Short Film Festival,,Sao Paulo,Brésil,Under Construction,Liu,Zhenchen,212.0,Sao Paulo,,Sao Paulo,1741.0,136.0
Best documentary,,2019,,10/16/20,10/20/20,Sapporo,,Short Film Festival,,Sapporo,Japon,Swatted,Joffroy Chandoutis,Ismaël,842.0,Sapporo,,Sapporo,1743.0,121.0
Exis Award,,2009,juillet,,,Seoul,,Experimental Film Festival,,Seoul,Corée du Sud,Coagulate,Grecu,Mihai,224.0,Seoul,,Seoul,1753.0,322.0
Igong - new artist,,2014,janvier,,,Seoul media,,Multimedia festival,,Séoul,Corée du Sud,Gli immacolati,Trocker,Ronny,522.0,Seoul media,,Seoul media,1755.0,241.0
Prix spécial du jury,,2006,,,,Short shorts,,Film Festival,,Tokyo,Japon,Resonance of tears,Watanabe,Atsuhiko,,Short shorts,,Short shorts,1757.0,29.0
Meilleur court-métrage,,2016,,,,Short the point,,Film Festival,,,Roumanie,Isabella Morra,Pagliai,Isabel,574.0,Short the point,,Short the point,1759.0,323.0
Prix de la danse avec caméra,,2017,,03/21/20,03/26/20,Short Waves,,Short Film Festival,,Poznan,Pologne,Tact,Le Maguer,Thibaud,676.0,Short Waves,Short Waves,Short Waves,1760.0,100.0
Edward Snowden Award,,2019,,06/22/20,06/30/20,Signes de Nuit,,Film Festival,,,Thailande,Swatted,Joffroy Chandoutis,Ismaël,842.0,Signes de Nuit,,Signes de Nuit,1765.0,324.0
Mention spéciale,,2008,,,,Sleepwalkers,,Short Film Festival,,,Estonie,Coagulate,Grecu,Mihai,224.0,Sleepwalkers,Sleepwalkers,Sleepwalkers,1766.0,325.0
Grand prix nouveau média,,2004,,,,Split,,Multimedia festival,,Split,Croatie,Shimmy shimmy grass,Dimnet,Morgan,,Split,,Split,1770.0,154.0
Best experimental film award,,2004,,,,Strange Screen,,Film Festival,,Thessalonique,Grèce,Plus tard,,,,Strange Screen,,Strange Screen,1772.0,52.0
