meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,artist_id,aw_art_valid
Prix du film off-limits,,2018,,06/11/20,06/16/20,Annecy,,Film Festival,,Annecy,France,An excavation of us,Bruno,Shirley,749.0,Annecy,,Annecy,558,
Best experimental work,,2012,,,,Annual Bushwick,,Film Festival,,,Etats-Unis,Naufrage,Durand,Clorinde,254.0,Annual Bushwick,,Annual Bushwick,197,
Mention honorable,,2018,,09/06/20,09/10/20,Ars Electronica,,Film Festival,,Linz,Autriche,An excavation of us,Bruno,Shirley,749.0,Ars Electronica,Ars Electronica,Ars Electronica,558,
Prix professionnel,,2011,,,,Artcourtvidéo,,Short Film Festival,,Arles,France,Generatia de sacrificiu,Couet,Jean-Christophe,388.0,Artcourtvidéo,,Artcourtvidéo,,
Prix expérimental,,2008,,,,Aubagne,,Film Festival,,Aubagne,France,Under Construction,Liu,Zhenchen,212.0,Aubagne,,Aubagne,160,
Grand prix du film de recherche,,1999,,,,Aubagne,,Film Festival,,Aubagne,France,Plus tard,,,,Aubagne,,Aubagne,,
Meilleur court-métrage,,2011,avril,,,BAFICI,,Film Festival,,Buenos Aires,Argentine,El juego,Naishtat,Benjamin,347.0,BAFICI,,BAFICI,258,
Best cinematography award,,2009,,,,Belgrade,,Film Festival,,Belgrade,Serbie,Visités,Cogitore,Clément,220.0,Belgrade,,Belgrade,170,
Mention spéciale du jury,,2019,,02/07/20,02/17/20,Berlinale,,Film Festival,,Berlin,Allemagne,Omarska,Sasindran,Varun,855.0,Berlinale,Berlinale,Berlinale,679,
Silver Sand Award,,2019,,10/02/20,10/06/20,Best Of,,International Film Festival,Cinéma l'Eden,La Ciotat,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Best Of,,Best Of,671,
Prix du jury,jeune court-métrage,2015,septembre,,,Biarritz Amérique latine,,Film Festival,,Biarritz,France,Echo chamber,Moncayo,Guillermo,17.0,Biarritz Amérique latine,,Biarritz Amérique latine,31,
Meilleure réalisation,,2012,avril,,,Bibienna,,Film Festival,,Bibienna,Italie,Fireworks,Abbruzzese,Giacomo,380.0,Bibienna,,Bibienna,238,
Best Directing Award,,2019,,11/06/20,11/10/20,BIEFF,,Experimental Film Festival,,Bucarest,Roumanie,Omarska,Sasindran,Varun,855.0,BIEFF,Bieff,Bieff,679,
Prix du public,,2017,novembre,,,BIEFF,,Film Festival,,Bucarest,Roumanie,"I made you, I kill you",Petru Badelita,Alexandru,658.0,BIEFF,Bieff,Bieff,529,
Norberto Griffa de la création audiovisuelle,,2014,novembre,,,Bienal de la imagen en movimiento,,Film Festival,,Buenos Aires,Argentine,Aequador,Huertas Milan,Laura,452.0,Bienal de la imagen en movimiento,,Bienal de la imagen en movimiento,273,
2 ème prix,,2005,,,,Biennale de l'image en mouvement,,Film Festival,,Genève,Suisse,Japon : un pays lointain,Yabuki,Takako,,Biennale de l'image en mouvement,,Biennale de l'image en mouvement,,
3 ème prix,,2005,,,,Black Maria,,Film Festival,,,Etats-Unis,Courant d'air,Martirosyan,Nora,,Black Maria,,Black Maria,,
Student jury award,documentaire,2019,,11/17/20,11/24/20,Blue Danube,,Film Festival,,Vienne,Autriche,Swatted,Joffroy Chandoutis,Ismaël,842.0,Blue Danube,,Blue Danube,671,
Bobine d'Or,,2009,,,,Bobin'Lilles,,Gala,L'Univers,Lille,France,Brises,Ramirez,Enrique,238.0,Bobin'Lilles,,Bobin'Lilles,208,
Meilleure bande son,,2009,,,,Bobin'Lilles,,Gala,L'Univers,Lille,France,Naufrage,Durand,Clorinde,254.0,Bobin'Lilles,,Bobin'Lilles,197,
Mention spéciale,documentaire,2016,decembre,,,Bogota Short,,Short Film Festival,,Bogota,Colombie,Isabella Morra,Pagliai,Isabel,574.0,Bogota Short,Bogota Short Film Fest,Bogota Short Film Festival,544,
Shine short,,2013,mars-avril,,,Bradford,,Film Festival,,Bradford,Royaume-Unis,Quatro horas descalço,Costa,Ico,438.0,Bradford,,Bradford,291,
Meilleur film,,2011,février,,,Brecht Festival,,Film Festival,,Augsburg,Allemagne,Plastic and Glass,Joosse,Tessa,284.0,Brecht Festival,,Brecht Festival,224,
Mention spéciale Format Court,,2015,novembre,,,Brest,,Film Festival,,Brest,France,"Archipels, granites dénudées",Hérétakis,Daphné,12.0,Brest,,Brest,,
Prix canal+ cocotte minute,,2009,novembre,,,Brest,,Short Film Festival,,Brest,France,Cantor dust man,Loghman,Sébastien,308.0,Brest,,Brest,202,
Prix Révélation,,2005,,,,Brest,,Short Film Festival,,Brest,France,La Plaine,Edzard,Roland,,Brest,,Brest,,
Mention spéciale du jury,film étudiant,2014,avril,,,Bruz,,International Animation Festival,,Rennes,France,Gli immacolati,Trocker,Ronny,522.0,Bruz,,Bruz,309,
1er prix,,2009,octobre,,,Busan,,Film Festival,,Busan,Corée du Sud,Phone Tapping,Won Lee,Hee,286.0,Busan,Busan,Busan,227,
Grand Prix,,2012,mars,,,Ca'Forscari,,Film Festival,,Venise,Italie,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409.0,Ca'Forscari,Ca Foscari,Ca’Foscari,282,
Prix spécial du jury,,2006,,,,Caen,,Short Film Festival,,Caen,France,La Plaine,Edzard,Roland,,Caen,,Caen,,
3 ème prix Cinéfondation,,2005,,,,Cannes,,Film Festival,,Cannes,France,La Plaine,Edzard,Roland,,Cannes,,Cannes,,
Grand Prix,,2006,,,,Cannes,,Film Festival,,Cannes,France,Flandres,Dumont,Bruno,,Cannes,,Cannes,,
Prix IBN,,2009,,,,Catania,,Film Festival,,Catania,Italie,Naufrage,Durand,Clorinde,254.0,Catania,,Catania,197,
Best creative short,,2015,avril,,,Cervantes Award,,Prix annuel,Ministère de la culture,Madrid,Espagne,Le Park,Maroufi,Randa,16.0,Cervantes Award,,Cervantes Award,28,False
Prix du jury,,2019,,04/04/20,04/06/20,Chalon tout court,,Short Film Festival,,Châlon-sur-Saône,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Chalon tout court,,Chalon tout court,671,
Silver plaque,,2014,octobre,,,Chicago,,Film Festival,,Chicago,Etats-Unis,Gli immacolati,Trocker,Ronny,522.0,Chicago,,Chicago,309,
Mention spéciale,,2007,,,,Chicago,,Short Film Festival,,Chicago,Etats-Unis,Under Construction,Liu,Zhenchen,212.0,Chicago,,Chicago,160,
Prix Phil Solomon,,2019,,06/05/20,06/09/20,Chicago Underground,,Film Festival,,Chicago,Etats-Unis,Swatted,Joffroy Chandoutis,Ismaël,842.0,Chicago Underground,,Chicago Underground,671,
Best documentary,compétition internationale,2019,,10/12/20,10/18/20,Chypre,,Short Film Festival,,Nicosie,Chypre,Swatted,Joffroy Chandoutis,Ismaël,842.0,Chypre,,Chypre,671,
Mention spéciale,,2012,octobre,,,Chypre,,Short Film Festival,,Nicosie,Chypre,Manque de preuves,Kwon,Hayoun,396.0,Chypre,,Chypre,253,
Mention spéciale du jury,long métrage,2010,octobre,,,Cine B,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278.0,Cine B,,Cine B,216,
"Prix du court-métrage ""ado""",,2012,mars,,,Ciné-jeune,,Film Festival,,Laon,France,Fireworks,Abbruzzese,Giacomo,380.0,Ciné-jeune,,Ciné-jeune,238,
Mention spéciale,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212.0,Cine'Eco,,Cine'Eco,160,
Grand Prix jeune public,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212.0,Cine'Eco,,Cine'Eco,160,
Grand prix du jury,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212.0,Cine'Eco,,Cine'Eco,160,
Prix Joris Ivens,premier film,2010,,,,Cinéma du réel,,Film Festival,,Paris,France,La Quemadura,Ballesteros,René,278.0,Cinéma du réel,,Cinéma du réel,216,
Mention spéciale du prix Louis Marcorelles,,2010,mars,,,Cinéma du réel,,International Documentary Film Festival,,Paris,France,Atlantiques,Diop,Mati,282.0,Cinéma du réel,,Cinéma du réel,195,
Mention spéciale,,2012,novembre,,,Cinéma et droits humains,,Film Festival,,Paris,France,Manque de preuves,Kwon,Hayoun,396.0,Cinéma et droits humains,,Cinéma et droits humains,253,
Mention spéciale,,2003,,,,Cinéma Méditerranéen,,Film Festival,,Montpellier,France,Courant d'air,Martirosyan,Nora,,Cinéma Méditerranéen,,Cinéma Méditerranéen,,
Mention spéciale du jury,,2006,,,,Cinémages,,Film Festival,,,France,Ligne Verte,Mareshal,Laurent,72.0,Cinémages,,Cinémages,328,
meilleur film expérimental,,2015,décembre,,,Cinemaiubit,,Film Festival,,Bucarest,Roumanie,Le Park,Maroufi,Randa,16.0,Cinemaiubit,,Cinemaiubit,28,False
Prix special du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,671,
Prix Festival Connexion Auvergne Rhône-Alpes,,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Ondes noires,Joffroy Chandoutis,Ismaël,770.0,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,671,
Grand prix du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Last year when the train passed by,Huang,Pang-Chuan,838.0,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,667,
Grand Prix,Labo,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Retour,Huang,Pang-Chuan,764.0,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,667,
Mention spéciale du jury (photographie),,2016,fevrier,,,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Isabella Morra,Pagliai,Isabel,574.0,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,544,
Jameson short award,,2003,,,,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Chamonix,Mréjan,Valérie,,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,,
Winner of esplora category,,2009,aout,,,Concorto,,Film Festival,,Pontenure,Italie,Naufrage,Durand,Clorinde,254.0,Concorto,,Concorto,197,
1er prix jeunes talents,,2010,,,,Concours Air France,,Concours,,,France,Phone Tapping,Won Lee,Hee,286.0,Concours Air France,,Concours Air France,227,
1 er prix,installations sonores,2005,,,,Concours international de musique et d'art sonore electroaccoustiques,,Multimedia festival,,Bourges,France,Dropper 01,Fabre,Arno,,Concours international de musique et d'art sonore electroaccoustiques,,Concours international de musique et d'art sonore electroaccoustiques,,
Premier Prix,,2008,,,,COR-10,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212.0,COR-10,,COR-10,160,
Onda Curta Award,,2006,,,,Corta !,,Short Film Festival,,Porto,Portugal,Ligne Verte,Mareshal,Laurent,72.0,Corta !,,Corta !,328,
Grand prix art vidéo,,2017,,06/07/20,06/17/20,Côté Court,,Short Film Festival,,Pantin,France,Tact,Le Maguer,Thibaud,676.0,Côté Court,,Côté Court,570,
Prix Renard pour la bande sonore,,2016,juin,,,Côté Court,,Short Film Festival,,Pantin,France,Isabella Morra,Pagliai,Isabel,574.0,Côté Court,,Côté Court,544,
Prix du jury,,2011,juin,,,Côté Court,,Short Film Festival,,Pantin,France,Bobok,Leibovitz,Simon,343.0,Côté Court,,Côté Court,254,
