meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,artist_id,aw_art_valid
Prix de l'INA,,2005,,,,L'Acharnière,,Film Festival,,Lille,France,Japon : un pays lointain,Yabuki,Takako,,L'Acharnière,,L'Acharnière,,
Meilleur montage,,2003,,,,L'Acharnière,,Film Festival,,Lille,France,Courant d'air,Martirosyan,Nora,,L'Acharnière,,L'Acharnière,,
Mention spéciale,,2007,,,,L'Alternativa,,Film Festival,,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212.0,L'Alternativa,,L'Alternativa,160,
Prix du Jury,,2016,septembre,,,La Nuit de l'Instant,,Multimedia festival,,Marseille,France,Le Park,Maroufi,Randa,16.0,La Nuit de l'Instant,,La Nuit de l'Instant,28,False
Coup de cœur du jury,,2010,novembre,,,Le Réel en vue,,Film Festival,,Thionville,France,Plastic and Glass,Joosse,Tessa,284.0,Le Réel en vue,,Le Réel en vue,224,
Meilleur film,,2009,septembre,,,Lebanese,,Film Festival,,Beyrouth,Liban,Un instant mon glamour,Abu Shaqra,Shirin,277.0,Lebanese,,Lebanese,215,
Mention spéciale du jury,,2008,,,,Les écrans documentaires,,Film Festival,,Arcueil,France,Under Construction,Liu,Zhenchen,212.0,Les écrans documentaires,,Les écrans documentaires,160,
Prix du jury presse,,2014,octobre,,,Les Enfants terribles,,Film Festival,,Huy,Belgique,Tehran-Geles,Nassiri,Arash,29.0,Les Enfants terribles,,Les Enfants terribles,34,
Best short film,,2019,,11/13/20,11/24/20,LIFF,,Film Festival,,Llubjana,Slovénie,Last year when the train passed by,Huang,Pang-Chuan,838.0,LIFF,,LIFF,667,
Best international short film,,2018,,01/11/20,01/20/20,London Short,,Short Film Festival,,Londres,Royaume-Unis,Retour,Huang,Pang-Chuan,764.0,London Short,,London Short,667,
Meilleur court-métrage,,2004,,,,Luso-brésilien,,Film Festival,,Santa-Maria da Feira,Portugal,Copan,Spinelli,Bernardo,,Luso-brésilien,,Luso-brésilien,,
Prix du jury,court-métrage,2007,,,,Lyon Asian,,Film Festival,,Lyon,France,Under Construction,Liu,Zhenchen,212.0,Lyon Asian,,Lyon Asian,160,
Best visual-aural interaction,,2011,,,,Madatac,,Film Festival,,Madrid,Espagne,Phone Tapping,Won Lee,Hee,286.0,Madatac,,Madatac,227,
Prix Transfera video art,,2009,avril,,,Madatac,,Film Festival,,Madrid,Espagne,Coagulate,Grecu,Mihai,224.0,Madatac,,Madatac,176,
Prix OVNI,,2010,,,,Média festival,,Film Festival,,Namur,Belgique,Vous êtes vous déjà fait piquer par une abeille morte,Rubin,Jonathan,231.0,Média festival,,Média festival,211,
Second Pirx,,2010,fevrier,,,Médiacity,,Multimedia festival,,Ontario,Canada,Atlantiques,Diop,Mati,282.0,Médiacity,,Médiacity,195,
Diploma of merit,,2009,,,,Mediaschool,,Prix annuel,,Lodz,Pologne,Plastic and Glass,Joosse,Tessa,284.0,Mediaschool,,Mediaschool,224,
Diploma of merit,,2008,,,,Mediaschool,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253.0,Mediaschool,,Mediaschool,,False
RMIT University award,experimental short film,2015,aout,,,Melbourne,,Film Festival,,Melbourne,Australie,Tehran-Geles,Nassiri,Arash,29.0,Melbourne,,Melbourne,34,
Mention spéciale du jury,,2016,septembre,,,Message to man,,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra,Pagliai,Isabel,574.0,Message to man,,Message to man,544,
Mention spéciale du jury,,2012,octobre,,,Milan,,Film Festival,,Milan,Italie,Fireworks,Abbruzzese,Giacomo,380.0,Milan,,Milan,238,
Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842.0,Minimalen,,Minimalen,671,
Mention spéciale du jury,,2009,,,,MiradasDoc,,Film Festival,,Guia de Isora,Espagne,Under Construction,Liu,Zhenchen,212.0,MiradasDoc,,MiradasDoc,160,
Grand prix du public,,2017,mars,,,Monde en images,,Film Festival,,Cucuron,France,Les habitants du vent,Sarabi,Abtin,562.0,Monde en images,,Monde en images,546,False
Young talent award,,2013,juin,,,Munich,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Munich,,Munich,302,
Best experimental film,,2008,,,,Naoussa,,Film Festival,,Naoussa,Grèce,Under Construction,Liu,Zhenchen,212.0,Naoussa,,Naoussa,160,
Mention spéciale du jury,,2008,,,,Non-Budget,,Film Festival,,,Cuba,Under Construction,Liu,Zhenchen,212.0,Non-Budget,,Non-Budget,160,
"Mention honorable, meilleur court-métrage documentaire",,2019,,06/12/20,06/16/20,Norwegian,,Short Film Festival,,Grimstad,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842.0,Norwegian,,Norwegian,671,
Silver Scales Award (best direction),,2003,,,,Novo Mesto,,Short Film Festival,,Novo Mesto,Slovénie,Vide pour l'amour,Jayasundera,Vimukthi,,Novo Mesto,,Novo Mesto,,
Prix de la ville,,2011,mai,,,Oberhausen,,Film Festival,,Oberhausen,Allemagne,Sans titre,Beloufa,Neil,332.0,Oberhausen,Oberhausen,Oberhausen,243,
Artistic contribution award,,2014,juin,,,Olhar de Cinema,,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ?,Williams,Eduardo,524.0,Olhar de Cinema,,Olhar de Cinema,316,
Grand Prix,,2010,octobre,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Planet A,Seto,Momoko,256.0,Oslo Screen,,Oslo Screen,189,
Best video,,2008,,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Coagulate,Grecu,Mihai,224.0,Oslo Screen,,Oslo Screen,176,
Mention spéciale,,2008,,,,Ourense,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212.0,Ourense,,Ourense,160,
Meilleur court métrage,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497.0,PAFF,,PAFF,15,
Meilleure actrice,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497.0,PAFF,,PAFF,15,
Meilleur court-métrage,,2015,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,"Archipels, granites dénudées",Hérétakis,Daphné,12.0,PAFF,,PAFF,,
Mention spéciale du jury,,2017,juin,,,Palm Spring,,Film Festival,,Palm Spring,Etats-Unis,"I made you, I kill you",Petru Badelita,Alexandru,658.0,Palm Spring,Palm Springs,Palm Springs,529,
Best student short (deuxième),,2014,mars,,,Palm Springs,,Short Film Festival,,Palm Springs,Etats-Unis,Gli immacolati,Trocker,Ronny,522.0,Palm Springs,Palm Springs,Palm Springs,309,
Prix du jury,,2009,mars,,,Panorama du cinéma du Maghreb,,Film Festival,,Saint-Denis,France,Abena,El Kamel,Amel,240.0,Panorama du cinéma du Maghreb,,Panorama du cinéma du Maghreb,173,
Prix spécial du jury,première création,2014,janvier,,,Pointdoc,,International Documentary Film Festival,,,Espagne,La mariée,Curtz,Joël,476.0,Pointdoc,,Pointdoc,292,
Grand Prix,,2018,,11/29/20,12/06/20,Poitiers,,Film Festival,,Poitiers,France,All movements should kill the wind,Wang,Yuyan,1211.0,Poitiers,,Poitiers,1134,
Prix du jury lycéen,,2014,décembre,,,Poitiers,,Film Festival,,Poitiers,France,Tehran-Geles,Nassiri,Arash,29.0,Poitiers,,Poitiers,34,
Mention spéciale du jury,,2004,,,,Premières fois,,Film Festival,,Grasse,France,A l'ami imaginé,Pernot,Laurent,,Premières fois,,Premières fois,,
Prix des étudiants d'Angers,,2012,janvier,,,Premiers plans,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380.0,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,238,
Grand prix du jury,,2006,,,,Premiers plans,,Film Festival,,Angers,France,La Plaine,Edzard,Roland,,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,,
Prix Edward Steichen,,2009,,,,Prix Edward Steichen,,Prix annuel,,,Luxembourg,Carrière complète,Bak,Bertille,,Prix Edward Steichen,,Prix Edward Steichen,,
Prix Médiatine,,2012,,,,Prix Médiatine,,Prix annuel,Centre Wallonie Bruxelles,Bruxelles,Belgique,Cabinet d'affects,Van der Auwera,Emmanuel,372.0,Prix Médiatine,,Prix Médiatine,236,
Grand Prix meilleur film,,2019,,03/11/20,03/16/20,Punto de Vista,,International Documentary Film Festival,,Pampelune,Espagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Punto de Vista,,Punto de Vista,678,
Meilleur film,,2015,mars,,,Punto de Vista,,Film Festival,,Pampelune,Espagne,Echo chamber,Moncayo,Guillermo,17.0,Punto de Vista,,Punto de Vista,31,
Best Film,My shorts competion,2019,,09/20/20,09/28/20,Queer Lisboa,,,,Lisbonne,Portugal,Constanza,Liebenthal,Melisa,844.0,Queer Lisboa,,Queer Lisboa,858,
Meilleure fiction,,2012,avril,,,Recontres cinéma-nature,,Film Festival,,Dompierre-sur-Besbre,France,Fireworks,Abbruzzese,Giacomo,380.0,Recontres cinéma-nature,,Recontres cinéma-nature,238,
Prix des cinéphiles,,2013,mai,,,Recontres cinématographiques,,Film Festival,,Digne-les-Bains,France,Jeanne,Reymond,Dania,464.0,Recontres cinématographiques,,Recontres cinématographiques,307,
Mention spéciale du jury,documentaire,2019,,03/13/20,03/17/20,Regard,,Film Festival,,Saguenay,Canada,Swatted,Joffroy Chandoutis,Ismaël,842.0,Regard,Regard,Regard,671,
Prix spécial du jury,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,Gli immacolati,Trocker,Ronny,522.0,Regards au Longs-Courts,,Regards au Longs-Courts,309,
Prix du public,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,La mariée,Curtz,Joël,476.0,Regards au Longs-Courts,,Regards au Longs-Courts,292,
Prix de la ville de Regensburg,,2018,,,,Regensburg,,Film Festival,,Regensburg,Allemagne,Ondes noires,Joffroy Chandoutis,Ismaël,770.0,Regensburg,,Regensburg,671,
Prix Découverte,,2007,,,,Rencontres d'Arles,,photography festival,,Arles,France,,Henno,Laura,,Rencontres d'Arles,,Rencontres d'Arles,,
Second prix,premiers films documentaire,2018,,03/14/20,03/20/20,Rencontres du cinéma européen,,Film Festival,,Vannes,France,Retour,Huang,Pang-Chuan,764.0,Rencontres du cinéma européen,,Rencontres du cinéma européen,667,
Prix du jury étudiant,,2008,,,,Rencontres Henri Langlois,,Film Festival,,Poitiers,France,Brises,Ramirez,Enrique,238.0,Rencontres Henri Langlois,,Rencontres Henri Langlois,208,
Mention spéciale photographie,,2006,,,,Rencontres internationales Henri Langlois,,Film Festival,,Poitiers,France,Yeux,Edzard,Roland,75.0,Rencontres internationales Henri Langlois,,Rencontres internationales Henri Langlois,324,
Meilleur court-métrage,,2014,mars,,,Rencontres internationales sciences et cinéma,,Film Festival,,Marseille,France,Tehran-Geles,Nassiri,Arash,29.0,Rencontres internationales sciences et cinéma,Rencontres Internationales Sciences Et CinéMas,Rencontres Internationales Sciences Et CinéMas,34,
Meilleur court-métrage,,2016,janvier,,,RIDM,,International Documentary Film Festival,,Montréal,Canada,Isabella Morra,Pagliai,Isabel,574.0,RIDM,,RIDM,544,
Best short documentary,,2019,,04/10/20,04/14/20,Rincon,,International Film Festival,,Rincon,Porto Rico,Swatted,Joffroy Chandoutis,Ismaël,842.0,Rincon,,Rincon,671,
Mention spéciale du jury,,2017,mars,,,RISC,,Film Festival,,Marseille,France,Ciudad Maya,Padilla Domene,Andrès,680.0,RISC,,RISC,572,
Grand Prix,,2016,novembre,,,RISC,,Film Festival,,Marseille,France,"I made you, I kill you",Petru Badelita,Alexandru,658.0,RISC,,RISC,529,
Meilleur film expérimental,,2012,octobre,,,Riviera Maya Underground,,Film Festival,,Playa del Carmen,Mexique,"La Bibliothèque, la nuit",Vieira Torres,Joao,410.0,Riviera Maya Underground,,Riviera Maya Underground,283,
Mention spécial,,2016,janvier-février,,,Rotterdam,,Film Festival,,Rotterdam,Pays-Bas,Le Park,Maroufi,Randa,16.0,Rotterdam,,Rotterdam,28,False
Tiger Short Award,,2010,février,,,Rotterdam,,Film Festival,,Rotterdam,Pays-Bas,Atlantiques,Diop,Mati,282.0,Rotterdam,,Rotterdam,195,
Mention spéciale EcoFilm,,2016,septembre,,,Rural Film Fest,,Film Festival,,El Eden de la Mancha,Espagne,Focus on infinity,Lavenne,Mathilde,584.0,Rural Film Fest,,Rural Film Fest,539,
Meilleur réalisateur,cinéma chilien,2010,,,,SANFIC,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278.0,SANFIC,,SANFIC,216,
Mention honorifique,,2012,,,,Santa Maria da Feira,,Film Festival,,,Brésil,Version française,Da-Rin,Maya,411.0,Santa Maria da Feira,,Santa Maria da Feira,284,
Best experimental work,,2010,octobre,,,Santa-Cruz,,Film Festival,,Santa-Cruz,Etats-Unis,Plastic and Glass,Joosse,Tessa,284.0,Santa-Cruz,,Santa-Cruz,224,
Best documentary,,2007,,,,Santiago,,Short Film Festival,,Santiago,Chili,Under Construction,Liu,Zhenchen,212.0,Santiago,,Santiago,160,
Best short film,,2007,,,,Sao Paulo,,Short Film Festival,,Sao Paulo,Brésil,Under Construction,Liu,Zhenchen,212.0,Sao Paulo,,Sao Paulo,160,
Best documentary,,2019,,10/16/20,10/20/20,Sapporo,,Short Film Festival,,Sapporo,Japon,Swatted,Joffroy Chandoutis,Ismaël,842.0,Sapporo,,Sapporo,671,
Best experimental film,,2008,,,,Sapporo,,Short Film Festival,,Sapporo,Japon,Under Construction,Liu,Zhenchen,212.0,Sapporo,,Sapporo,160,
Prix Emergences,,2019,,01/19/20,01/19/20,Scam*,Open Factory,Gala,Cent-Quatre,Paris,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Scam*,,Scam*,671,
Prix jeune talent numérique,,2015,janvier,,,Scam*,Arte,Gala,Cent-Quatre,Paris,France,Cuisine américaine,Pluvinage,Justine,570.0,Scam*,,Scam*,38,
Prix jeune talent numérique,,2015,janvier,,,Scam*,Arte,Gala,Cent-Quatre,Paris,France,Howto,Caravella,Elisabeth,4.0,Scam*,,Scam*,8,
Prix jeune talent numérique,,2014,janvier,,,Scam*,,Gala,Cent-Quatre,Paris,France,Gli immacolati,Trocker,Ronny,522.0,Scam*,,Scam*,309,
Prix de l'œuvre numérique,,2012,,,,Scam*,,Gala,,Paris,France,Manque de preuves,Kwon,Hayoun,396.0,Scam*,,Scam*,253,
Renard d'argent,,2014,février,,,Semaine du cinéma du bureau des Arts de Science Po,,Film Festival,,Paris,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Semaine du cinéma du bureau des Arts de Science Po,,Semaine du cinéma du bureau des Arts de Science Po,302,
Exis Award,,2009,juillet,,,Seoul,,Experimental Film Festival,,Seoul,Corée du Sud,Coagulate,Grecu,Mihai,224.0,Seoul,,Seoul,176,
Igong - new artist,,2014,janvier,,,Seoul media,,Multimedia festival,,Séoul,Corée du Sud,Gli immacolati,Trocker,Ronny,522.0,Seoul media,,Seoul media,309,
Prix spécial du jury,,2006,,,,Short shorts,,Film Festival,,Tokyo,Japon,Resonance of tears,Watanabe,Atsuhiko,,Short shorts,,Short shorts,,
Meilleur court-métrage,,2016,,,,Short the point,,Film Festival,,,Roumanie,Isabella Morra,Pagliai,Isabel,574.0,Short the point,,Short the point,544,
Prix de la danse avec caméra,,2017,,03/21/20,03/26/20,Short Waves,,Short Film Festival,,Poznan,Pologne,Tact,Le Maguer,Thibaud,676.0,Short Waves,Short Waves,Short Waves,570,
Mention honorable,Urban View,2016,mars,,,Short Waves,,Short Film Festival,,Poznan,Pologne,Le Park,Maroufi,Randa,16.0,Short Waves,Short Waves,Short Waves,28,False
best student film,experimental,2016,mai-juin,,,ShortCut,,Short Film Festival,,Bucarest,Roumanie,Laughter far away,Golder,Ewan,669.0,ShortCut,,ShortCut,562,
Edward Snowden Award,,2019,,06/22/20,06/30/20,Signes de Nuit,,Film Festival,,,Thailande,Swatted,Joffroy Chandoutis,Ismaël,842.0,Signes de Nuit,,Signes de Nuit,671,
Mention spéciale,,2008,,,,Sleepwalkers,,Short Film Festival,,,Estonie,Coagulate,Grecu,Mihai,224.0,Sleepwalkers,Sleepwalkers,Sleepwalkers,176,
Best documentary,,2019,,09/06/20,09/09/20,Smalls,,Film Festival,,Londres,Royaume-Unis,Swatted,Joffroy Chandoutis,Ismaël,842.0,Smalls,,Smalls,671,
Grand prix nouveau média,,2004,,,,Split,,Multimedia festival,,Split,Croatie,Shimmy shimmy grass,Dimnet,Morgan,,Split,,Split,,
Best experimental film award,,2004,,,,Strange Screen,,Film Festival,,Thessalonique,Grèce,Plus tard,,,,Strange Screen,,Strange Screen,,
Best Film,,2020,,01/16/20,01/19/20,Stuttgarter film winter,,Film Festival,,Stuttgart,Allemagne,Omarska,Sasindran,Varun,855.0,Stuttgarter film winter,Stuttgarter Filmwinter,Stuttgarter Filmwinter,679,
Mention spéciale,,2011,juillet,,,Summer Corto café Festival,,Film Festival,,Tarente,Italie,La mécanique de la grive,Piccino,Rossellla,348.0,Summer Corto café Festival,,Summer Corto café Festival,259,
Prix Doc Lounge,documentaire,2019,,03/13/20,03/17/20,Sundsvall Film Fest,,Film Festival,,Sundsvall,Suède,Swatted,Joffroy Chandoutis,Ismaël,842.0,Sundsvall Film Fest,,Sundsvall Film Fest,671,
Mention spéciale meilleur montage,,2009,octobre,,,Sur les pas de mon oncle,,Film Festival,,Saint-Maur,France,Un Château en mer,Pfander,Barbel,253.0,Sur les pas de mon oncle,,Sur les pas de mon oncle,,False
New Amerika price,,2014,juin,,,Szczecin European,,Film Festival,,Szczecin,Pologne,Gli immacolati,Trocker,Ronny,522.0,Szczecin European,,Szczecin European,309,
meilleur film expérimental,,2016,juillet,,,Tabor,,Film Festival,Châeau de Tabor,Tabor,Croatie,Le Park,Maroufi,Randa,16.0,Tabor,,Tabor,28,False
Diploma of merit,,2009,mars,,,Tampere,,Film Festival,,,Finlande,Planet A,Seto,Momoko,256.0,Tampere,Tampere,Tampere,189,
1er prix,,2010,,,,Télésorbonne,,Film Festival,,Paris,France,Plastic and Glass,Joosse,Tessa,284.0,Télésorbonne,,Télésorbonne,224,
"Mention spéciale, prix lycéen",,2010,mars,,,Terra du Cinéma,,Film Festival,,Tremblay,France,La mécanique de la grive,Piccino,Rossellla,348.0,Terra du Cinéma,,Terra du Cinéma,259,
Prix du jury professionnel,,2012,mars,,,Terra du Cinéma,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380.0,Terra du Cinéma,,Terra du Cinéma,238,
Mention spéciale du jury,,2018,,02/15/20,06/02/20,TIDF,,International Documentary Film Festival,,Taipei,Taïwan,Retour,Huang,Pang-Chuan,764.0,TIDF,,TIDF,667,
Meilleur court-métrage,,2016,juillet,,,Toko Film,,Film Festival,,,Italie,Le Park,Maroufi,Randa,16.0,Toko Film,,Toko Film,28,False
Excellence Award,,2009,,,,Tokyo Video,,Film Festival,,Tokyo,Japon,Under Construction,Liu,Zhenchen,212.0,Tokyo Video,,Tokyo Video,160,
Best short film,,2012,novembre,,,Toronto Reel Asian,,Film Festival,,Toronto,Canada,Manque de preuves,Kwon,Hayoun,396.0,Toronto Reel Asian,,Toronto Reel Asian,253,
Prix du jury,,2007,,,,TRUNK,,Film Festival,,,Suède,Under Construction,Liu,Zhenchen,212.0,TRUNK,,TRUNK,160,
Meilleur film,italiana corti,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327.0,Turin,,Turin,238,
Premio Avanti,,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327.0,Turin,,Turin,238,
Mention spéciale pour la direction artisitique,,2007,,,,Unimovie,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212.0,Unimovie,,Unimovie,160,
Meilleur court-métrage,,2010,décembre,,,Valpolicella,,Film Festival,,San Pietro in Cariano,Italie,La mécanique de la grive,Piccino,Rossellla,348.0,Valpolicella,,Valpolicella,259,
Prix spécial du jury,,2008,,,,Vendôme,,Film Festival,,Vendôme,France,Visités,Cogitore,Clément,220.0,Vendôme,,Vendôme,170,
Videobrasil residency price,,2014,,,,Videobrasil,association,Prix annuel,,Sao Paulo,Brésil,Tomo,Diallo,Bakary,442.0,Videobrasil,,Videobrasil,269,
Prix du jury professionnel,,2019,,03/14/20,03/17/20,Vidéoformes,,Multimedia festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Vidéoformes,,Vidéoformes,671,
Prix université Blaise Pascal,,2015,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Tehran-Geles,Nassiri,Arash,29.0,Vidéoformes,,Vidéoformes,34,
Coup de cœur Arte creative,,2014,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Darakchiev,Jivko,Fuite,489.0,Vidéoformes,,Vidéoformes,,False
Prix de la Ville,,2013,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Sing-Under,Seo,Jung-Hee,467.0,Vidéoformes,,Vidéoformes,280,
Grand Prix,,2012,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Deuxième bureau,Bao,Lixin,383.0,Vidéoformes,,Vidéoformes,242,
Mention spéciale du jury,,2009,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Coagulate,Grecu,Mihai,224.0,Vidéoformes,,Vidéoformes,176,
Prix de la création vidéo,,2008,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Unlith,Grecu,Mihai,198.0,Vidéoformes,,Vidéoformes,176,
Prix IUP multisupports de l'Université Blaise Pascal,,2006,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Ligne Verte,Mareshal,Laurent,72.0,Vidéoformes,,Vidéoformes,328,
"Prix IUP métiers du livre et multisupport, Université Blaise Pascal",,2005,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Compétent dans sa branche,Bosson,Olivier,,Vidéoformes,,Vidéoformes,,
2 ème prix Création vidéo,,2004,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Bufferzone,Najari,Samer,,Vidéoformes,,Vidéoformes,,
Grand Prix,,2010,novembre,,,Vidéogr@phie[s],,Film Festival,,Liège,Belgique,Phone Tapping,Won Lee,Hee,286.0,Vidéogr@phie[s],,Vidéogr@phie[s],227,
Videonale Award,fluentum collection,2017,fevrier,,,Videonale,,Film Festival,,Bonn,Allemagne,Le Park,Maroufi,Randa,16.0,Videonale,,Videonale,28,False
1er prix,,2009,mars,,,Vidéorformes,,Film Festival,,Clermont-Ferrand,France,Naufrage,Durand,Clorinde,254.0,Vidéorformes,,Vidéorformes,197,
Grand Prix fiction,,2003,,,,Vila do Conde,,Film Festival,,Vila do Conde,Portugal,Le pont n'est plus là,Ming-Liang,Tsaï,,Vila do Conde,,Vila do Conde,,
Meilleur court-métrage,jury étudiant,2018,,10/02/20,10/07/20,War on screen,,Film Festival,,Châlon-en-Champagne,France,Retour,Huang,Pang-Chuan,764.0,War on screen,,War on screen,667,
New Talent (seconde position),,2019,,10/23/20,10/27/20,Wiesbaden,,International Animation Festival,,Wiesbaden,Allemagne,Swatted,Joffroy Chandoutis,Ismaël,842.0,Wiesbaden,,Wiesbaden,671,
Mention honorable,,2017,mai,,,Vidéo Brasil,,Film Festival,,Sao Paulo,Brésil,Ciudad Maya,Padilla Domene,Andrès,680.0,,,,572,
